,Paper_Title,Publish_Year,Publish_Journal,MP_polymer,MP_size_um,MP_shape,mouse_rat,exposure_method,exposure_duration_day,MP_dose_mg_kg_dw_day,if_coexposure,Liver_MP_accum,Brain_MP_conc,blood_MP_conc,Kidney_MP_conc,Heart_MP_conc,Lung_MP_conc,Spleen_MP_conc,Testis_MP_conc,Gut_MP_conc,Uterus_ovaries_MP_conc,MP_accumulation_detection_method
134,"wistar rats hippocampal neurons response to blood low-density polyethylene microplastics: a pathway analysis of sod, cat, mda, 8-ohdg expression in hippocampal neurons and blood serum a  42 levels ",2023, neuropsychiatric disease and treatment ,pe,20,irregular,rat,oral gavage,90,0.22,none,,,M,,,,,,,,FTIR_Raman spectroscopy
135,"wistar rats hippocampal neurons response to blood low-density polyethylene microplastics: a pathway analysis of sod, cat, mda, 8-ohdg expression in hippocampal neurons and blood serum a  42 levels ",2023, neuropsychiatric disease and treatment ,pe,20,irregular,rat,oral gavage,90,0.44,none,,,M,,,,,,,,FTIR_Raman spectroscopy
136,"wistar rats hippocampal neurons response to blood low-density polyethylene microplastics: a pathway analysis of sod, cat, mda, 8-ohdg expression in hippocampal neurons and blood serum a  42 levels ",2023, neuropsychiatric disease and treatment ,pe,20,irregular,rat,oral gavage,90,0.88,none,,,M,,,,,,,,FTIR_Raman spectroscopy
137,"wistar rats hippocampal neurons response to blood low-density polyethylene microplastics: a pathway analysis of sod, cat, mda, 8-ohdg expression in hippocampal neurons and blood serum a  42 levels ",2023, neuropsychiatric disease and treatment ,pe,20,irregular,rat,oral gavage,90,1.76,none,,,M,,,,,,,,FTIR_Raman spectroscopy
138,"wistar rats hippocampal neurons response to blood low-density polyethylene microplastics: a pathway analysis of sod, cat, mda, 8-ohdg expression in hippocampal neurons and blood serum a  42 levels ",2023, neuropsychiatric disease and treatment ,pe,20,irregular,rat,oral gavage,90,3.5,none,,,M,,,,,,,,FTIR_Raman spectroscopy
148,toxicity study and quantitative evaluation of polyethylene microplastics in icr mice ,2022, polymers ,pe,27,irregular,mice,oral gavage,1,500,none,N,,N,N,N,N,N,,N,,FTIR_Raman spectroscopy
150,toxicity study and quantitative evaluation of polyethylene microplastics in icr mice ,2022, polymers ,pe,27,irregular,mice,oral gavage,1,1000,none,N,,N,N,N,N,N,,N,,FTIR_Raman spectroscopy
152,toxicity study and quantitative evaluation of polyethylene microplastics in icr mice ,2022, polymers ,pe,27,irregular,mice,oral gavage,1,2000,none,N,,M,N,N,M,N,,M,,FTIR_Raman spectroscopy
154,in vivo toxicity and pharmacokinetics of polytetrafluoroethylene microplastics in icr mice ,2022, polymers ,other,6.03,,mice,oral gavage,1,500,none,,,N,,,,,,,,FTIR_Raman spectroscopy
155,in vivo toxicity and pharmacokinetics of polytetrafluoroethylene microplastics in icr mice ,2022, polymers ,other,6.03,,mice,oral gavage,1,1000,none,,,N,,,,,,,,FTIR_Raman spectroscopy
156,in vivo toxicity and pharmacokinetics of polytetrafluoroethylene microplastics in icr mice ,2022, polymers ,other,6.03,,mice,oral gavage,1,2000,none,,,N,,,,,,,,FTIR_Raman spectroscopy
157,in vivo toxicity and pharmacokinetics of polytetrafluoroethylene microplastics in icr mice ,2022, polymers ,other,31.7,,mice,oral gavage,1,500,none,,,N,,,,,,,,FTIR_Raman spectroscopy
158,in vivo toxicity and pharmacokinetics of polytetrafluoroethylene microplastics in icr mice ,2022, polymers ,other,31.7,,mice,oral gavage,1,1000,none,,,N,,,,,,,,FTIR_Raman spectroscopy
159,in vivo toxicity and pharmacokinetics of polytetrafluoroethylene microplastics in icr mice ,2022, polymers ,other,31.7,,mice,oral gavage,1,2000,none,,,N,,,,,,,,FTIR_Raman spectroscopy
160,polystyrene nanoplastics exposure caused defective neural tube morphogenesis through caveolae-mediated endocytosis and faulty apoptosis ,2021, nanotoxicology ,ps,0.5,beads,mice,oral gavage,35,3,none,,,M,,,,,,,,fluorescence microscopy
171,"features, potential invasion pathways, and reproductive health risks of microplastics detected in human uterus ",2024, environmental science & technology ,ps,0.2,beads,mice,oral gavage,30,10,none,,,,,,,,,,M,fluorescence microscopy
172,"features, potential invasion pathways, and reproductive health risks of microplastics detected in human uterus ",2024, environmental science & technology ,ps,2,beads,mice,oral gavage,30,10,none,,,,,,,,,,M,fluorescence microscopy
173,"features, potential invasion pathways, and reproductive health risks of microplastics detected in human uterus ",2024, environmental science & technology ,ps,10,beads,mice,oral gavage,30,10,none,,,,,,,,,,M,fluorescence microscopy
174,"features, potential invasion pathways, and reproductive health risks of microplastics detected in human uterus ",2024, environmental science & technology ,ps,50,beads,mice,oral gavage,30,10,none,,,,,,,,,,N,fluorescence microscopy
184,uptake and effects of orally ingested polystyrene microplastic particles in vitro and in vivo ,2019, archives of toxicology ,ps,1,beads,mice,oral gavage,28,0.1,none,,,,,,,,,M,,fluorescence microscopy
191,hepatic and metabolic outcomes induced by sub-chronic exposure to polystyrene microplastics in mice ,2024, archives of toxicology ,ps,0.5,beads,mice,oral gavage,84,3.6,none,H,,,,,,,,,,fluorescence microscopy
192,hepatic and metabolic outcomes induced by sub-chronic exposure to polystyrene microplastics in mice ,2024, archives of toxicology ,ps,5,beads,mice,oral gavage,84,3.6,none,N,,,,,,,,,,fluorescence microscopy
205,"nanoplastics-induced oxidative stress, antioxidant defense, and physiological response in exposed wistar albino rats ",2022, environmental science and pollution research ,ps,0.039,beads,rat,oral gavage,35,10,none,M,,,M,,,,,M,,fluorescence microscopy
206,exposure to microplastics leads to a defective ovarian function and change in cytoskeleton protein expression in rat ,2022, environmental science and pollution research ,ps,5,beads,rat,oral gavage,25,0.59,none,,,,,,,,,M,M,fluorescence microscopy
209,combined effect of polystyrene microplastics and cadmium on rat blood-testis barrier integrity and sperm quality ,2023, environmental science and pollution research ,ps,5,beads,rat,oral gavage,30,0.59,Yes,,,,,,,,M,,,fluorescence microscopy
216,low-dose exposure to microplastics retards meiotic maturation via hdac3 insufficiency ,2023, science china life sciences ,ps,1,beads,mice,oral gavage,35,0.286,none,M,,,N,,,,M,M,M,fluorescence microscopy
216,low-dose exposure to microplastics retards meiotic maturation via hdac3 insufficiency ,2023, science china life sciences ,ps,0.5,beads,mice,oral gavage,35,0.286,none,N,,,N,,,,M,M,M,fluorescence microscopy
227,nanoplastics exposure induces hematopoietic injury in mice by disturbing gut microbiota and its metabolism ,2023, nano research ,ps,0.08,beads,mice,oral gavage,42,2.5,none,,,,,,,,,,,fluorescence microscopy
241,nanopolystyrene translocation and fetal deposition after acute lung exposure during late-stage pregnancy,2020,particle and fibre toxicology,ps,0.02,beads,rat,intratracheal administration,1,1.1,none,N,,,N,M,M,M,,,M,fluorescence microscopy
244,underestimated health risks: polystyrene micro- and nanoplastics jointly induce intestinal barrier dysfunction by ros-mediated epithelial cell apoptosis ,2021, particle and fibre toxicology ,ps,0.05,beads,mice,oral gavage,1,250,none,M,M,,M,M,M,M,M,,,fluorescence microscopy
245,underestimated health risks: polystyrene micro- and nanoplastics jointly induce intestinal barrier dysfunction by ros-mediated epithelial cell apoptosis ,2021, particle and fibre toxicology ,ps,0.5,beads,mice,oral gavage,1,250,none,M,M,,M,M,M,M,M,,,fluorescence microscopy
246,underestimated health risks: polystyrene micro- and nanoplastics jointly induce intestinal barrier dysfunction by ros-mediated epithelial cell apoptosis ,2021, particle and fibre toxicology ,ps,5,beads,mice,oral gavage,1,250,none,M,M,,M,M,M,M,M,,,fluorescence microscopy
247,underestimated health risks: polystyrene micro- and nanoplastics jointly induce intestinal barrier dysfunction by ros-mediated epithelial cell apoptosis ,2021, particle and fibre toxicology ,ps,0.05,beads,mice,oral gavage,28,250,Yes,M,M,,M,M,M,M,M,,,fluorescence microscopy
265,multi-dimensional evaluation of cardiotoxicity in mice following respiratory exposure to polystyrene nanoplastics ,2023, particle and fibre toxicology ,ps,0.04,beads,mice,inhalation,28,4.2,none,,,,,M,,,,,,fluorescence microscopy
268,multi-dimensional evaluation of cardiotoxicity in mice following respiratory exposure to polystyrene nanoplastics ,2023, particle and fibre toxicology ,ps,0.04,beads,mice,inhalation,84,4.2,none,,,,,M,,,,,,fluorescence microscopy
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.238,beads,mice,intratracheal administration,0.083,,none,H,M,M,M,M,M,M,M,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.022,beads,mice,intratracheal administration,0.083,,none,H,M,M,M,M,H,M,H,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.238,beads,mice,intratracheal administration,0.5,,none,H,M,M,M,M,H,M,H,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.022,beads,mice,intratracheal administration,0.5,,none,H,M,M,M,M,H,M,H,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.238,beads,mice,intratracheal administration,1,,none,M,M,M,M,M,H,M,H,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.022,beads,mice,intratracheal administration,1,,none,H,M,M,M,M,H,M,H,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.238,beads,mice,intratracheal administration,2,,none,M,M,M,M,M,H,M,M,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.022,beads,mice,intratracheal administration,2,,none,H,M,M,M,M,H,H,H,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.238,beads,mice,intratracheal administration,3,,none,M,M,M,M,M,H,M,M,,M,PET_MRI
271,comparison of pet tracing and biodistribution between cu-labeled micro-and nano-polystyrene in a murine inhalation model ,2024, particle and fibre toxicology ,ps,0.022,beads,mice,intratracheal administration,3,,none,H,M,M,M,M,M,H,H,,M,PET_MRI
277,protective effect of cordycepin on blood-testis barrier against pre-puberty polystyrene nanoplastics exposure in male rats ,2024, particle and fibre toxicology ,ps,0.08,beads,rat,oral gavage,74,3,none,,,,,,,,M,,,fluorescence microscopy
291,anionic nanoplastic exposure induces endothelial leakiness ,2022, nature communications ,ps,0.03,beads,mice,intravenous administration,1,1.5,none,M,M,,N,N,M,M,,,,fluorescence microscopy
292,anionic nanoplastic exposure induces endothelial leakiness ,2022, nature communications ,ps,0.03,beads,mice,intravenous administration,1,15,none,M,M,,N,M,M,M,,,,fluorescence microscopy
293,anionic nanoplastic exposure induces endothelial leakiness ,2022, nature communications ,ps,0.03,beads,mice,intravenous administration,1,30,none,M,M,,N,M,M,M,,,,fluorescence microscopy
294,oligomer nanoparticle release from polylactic acid plastics catalysed by gut enzymes triggers acute inflammation ,2023, nature nanotechnology ,other,0.2,beads,mice,oral gavage,7,42,none,N,M,,N,N,N,N,,M,,fluorescence microscopy
297,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,0.02,beads,mice,oral gavage,0.25,4.2,none,N,N,,N,N,N,N,,M,,PET_MRI
298,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,0.22,beads,mice,oral gavage,0.25,4.2,none,N,N,,N,N,N,N,,N,,PET_MRI
299,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,1,beads,mice,oral gavage,0.25,4.2,none,N,N,,N,N,N,N,,N,,PET_MRI
300,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,6,beads,mice,oral gavage,0.25,4.2,none,N,N,,N,N,N,N,,N,,PET_MRI
301,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,0.02,beads,mice,oral gavage,0.5,4.2,none,N,N,,N,N,N,N,,M,,PET_MRI
302,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,0.22,beads,mice,oral gavage,0.5,4.2,none,N,N,,N,N,N,N,,N,,PET_MRI
303,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,1,beads,mice,oral gavage,0.5,4.2,none,N,N,,N,N,N,N,,N,,PET_MRI
304,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,6,beads,mice,oral gavage,0.5,4.2,none,N,N,,N,N,N,N,,N,,PET_MRI
301,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,0.02,beads,mice,oral gavage,1,4.2,none,N,N,,M,N,N,M,,M,,PET_MRI
302,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,0.22,beads,mice,oral gavage,1,4.2,none,N,N,,M,N,N,M,,M,,PET_MRI
303,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,1,beads,mice,oral gavage,1,4.2,none,N,N,,M,N,N,M,,M,,PET_MRI
304,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,6,beads,mice,oral gavage,1,4.2,none,N,N,,M,N,N,M,,M,,PET_MRI
301,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,0.02,beads,mice,oral gavage,2,4.2,none,M,N,,M,N,N,M,,M,,PET_MRI
302,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,0.22,beads,mice,oral gavage,2,4.2,none,M,N,,M,N,N,M,,M,,PET_MRI
303,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,1,beads,mice,oral gavage,2,4.2,none,M,N,,M,N,N,M,,M,,PET_MRI
304,harnessing pet to track micro- and nanoplastics in vivo ,2021, scientific reports ,ps,6,beads,mice,oral gavage,2,4.2,none,M,N,,M,N,N,M,,M,,PET_MRI
305,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,1,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
305,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,2,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
305,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,4,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
305,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,7,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
305,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,14,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
305,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,21,4.2,none,M,,,H,,,,,M,,fluorescence microscopy
305,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,5,beads,mice,oral gavage,28,4.2,none,M,,,H,,,,,M,,fluorescence microscopy
306,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,1,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
306,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,2,4.2,none,M,,,M,,,,,M,,fluorescence microscopy
306,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,4,4.2,none,M,,,M,,,,,H,,fluorescence microscopy
306,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,7,4.2,none,M,,,H,,,,,H,,fluorescence microscopy
306,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,14,4.2,none,M,,,H,,,,,H,,fluorescence microscopy
306,tissue accumulation of microplastics in mice and biomarker responses suggest widespread health risks of exposure ,2017, scientific reports ,ps,20,beads,mice,oral gavage,21,4.2,none,M,,,H,,,,,H,,fluorescence microscopy
